,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
113,:evalml,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,10.717899999999998,240,0,0.6623737373737373,,0.9430502624577549,
114,:tpot,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,172.7408166666667,240,0,0.7023737373737374,,1.0,
115,:gama,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,216.39423333333335,240,0,0.7014646464646465,,0.9987056877831307,
116,:flaml,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,246.0002333333333,240,0,0.6823737373737373,,0.9715251312288774,
117,:mljar,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,250.39701666666667,240,0,0.6814646464646466,,0.9702308190120084,
118,:lama,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,1.05915,60,0,0.6195652173913043,,0.6195652173913043,
119,:pycaret,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,5.0721333333333325,60,0,1.0,,1.0,
120,:evalml,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,5.523866666666667,60,0,0.0,,0.0,
121,:autogluon,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,27.255816666666664,60,0,1.0,,1.0,
122,:autokeras,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,31.2013,60,0,0.9554503105590062,,0.9554503105590062,
123,:mljar,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,43.999050000000004,60,0,0.9891304347826086,,0.9891304347826086,
124,:gama,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,54.323049999999995,60,0,1.0,,1.0,
125,:flaml,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,60.39366666666667,60,0,1.0,,1.0,
126,:tpot,:tabular_classification,6521251c2dae03db08872db2,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,60.40391666666667,60,0,1.0,,1.0,
127,:lama,:tabular_classification,652134fa2dae03db08872dbc,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,1.0338833333333333,240,0,0.6195652173913043,,0.6195652173913043,
128,:pycaret,:tabular_classification,652134fa2dae03db08872dbc,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,5.2408166666666665,240,0,1.0,,1.0,
129,:evalml,:tabular_classification,652134fa2dae03db08872dbc,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,5.813633333333333,240,0,0.0,,0.0,
130,:autogluon,:tabular_classification,652134fa2dae03db08872dbc,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,31.93765,240,0,1.0,,1.0,
131,:autokeras,:tabular_classification,652134fa2dae03db08872dbc,SpeedDating.csv,6.931544,8378,123,2.14,0.0,0.0,0.19,42.30701666666666,240,0,0.9891304347826086,,0.9891304347826086,
